No Break Koblenz 5516 USB/R Línea Interactiva, 330W, 550VA, Entrada 120V, Salida 120V, 6 Contactos;;1,169.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;662;00-4259-00-8
No Break LinkedPRO LP10KYDC Doble Conversión en Línea, 10kW, 10kVA, Entrada 208V - 220V, Salida 208V - 220V, 0 Salidas ― Requiere Instalación por Parte de la Marca para hacer Válida la Garantía;;67,699.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;4;LP10KYDC
No Break Forza Power Technologies HT-650LCD Línea Interactiva, 390W, 650VA, Entrada 89V - 145V, Salida 105V - 131V, 12 Salidas ;;1,249.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;101;HT-650LCD
No Break Smartbitt SBOL10KTG1-2 Doble Conversión en Línea, 10kW, 10kVA, Entrada 110V - 300V, Salida 100V - 240V, Bloque de Terminales ― Requiere Instalación por Parte de la Marca para hacer Válida la Garantía;;56,969.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;2;SBOL10KTG1-2
No Break Smartbitt SBOL3KRT-2 Online, 2400W, 3000VA, Entrada 55 - 150V, Salida 220V, 4 Contactos;;16,339.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;7;SBOL3KRT-2
No Break Industronic 1315 Doble Conversión en Línea, 13.5kW, 15kVA, Entrada 156V, Salida 120V - 208V, 3 Salidas ― Requiere Instalación por Parte de la Marca para hacer Válida la Garantía;;121,809.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;15;UPS-IND-HF-1315-M1
No Break Tripp Lite by Eaton SU6000RT Doble Conversión en Línea, 5.400W, 6.000VA, Entrada 200V - 240V, Salida 200V - 240V, 4 Salidas ;;87,349.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;3;SU6000RT
No Break APC BR1100M2-LM Back UPS PRO BR Línea Interactiva, 600W, 1100VA, 88 - 147V, Salida 120V, 10 Contactos  ― Envío gratis limitado a 5 unidades por cliente;;3,149.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;1124;BR1100M2-LM
No Break Industronic 1320 M1 Doble Conversión en Línea, 18kW, 20kVA, Entrada 156V - 260V, Salida 120V - 208V, 3 Salidas ― Requiere Instalación por Parte de la Marca para hacer Válida la Garantía;;132,059.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;29;UPS-IND-HF-1320-M1-20-120
No Break Industronic UPS-IND 1222 Doble Conversión en Línea, 2.700W, 3.000VA, Entrada 220V - 240V, Salida 120V - 240V, 4 Salidas ;;23,899.00;;;2025-11-24;;https://www.abasteo.mx/Energia/Proteccion-Contra-Descargas/No-Break-UPS/No-Break-UPS/;;MXN;17;UPS-IND 1222
